   Step          Temp          PotEng         KinEng         TotEng         Press     
    222000   1161.5205     -2769.6534      128.36825     -2641.2852     -1336.5164    
    223000   1157.6261     -2773.0783      127.93785     -2645.1405     -458.87362    
    224000   1191.1682     -2767.3777      131.64484     -2635.7329      1269.5098    
    225000   1160.1678     -2774.1744      128.21876     -2645.9557      773.72382    
    226000   1171.4593     -2770.2031      129.46666     -2640.7364      1914.3646    
    227000   1137.6037     -2770.5307      125.72503     -2644.8057     -451.01551    
    228000   1170.105      -2773.3538      129.31699     -2644.0368     -466.52649    
    229000   1191.7756     -2774.4158      131.71197     -2642.7039     -1873.1271    
    230000   1146.7794     -2769.372       126.7391      -2642.6329     -308.91707    
    231000   1148.6306     -2778.6862      126.9437      -2651.7425     -1452.653     
    232000   1173.9021     -2775.2084      129.73663     -2645.4717     -233.99248    
    233000   1150.3733     -2779.1366      127.13629     -2652.0003     -2077.6725    
    234000   1145.884      -2769.6763      126.64014     -2643.0361      720.87352    
    235000   1224.3313     -2767.4381      135.30994     -2632.1282      1033.7345    
    236000   1158.4207     -2775.1382      128.02567     -2647.1126     -2902.9749    
    237000   1188.6486     -2772.3193      131.36638     -2640.953       172.32478    
    238000   1160.4448     -2782.2383      128.24937     -2653.9889     -1507.9872    
    239000   1186.3158     -2769.0543      131.10856     -2637.9457      1440.6445    
    240000   1162.4649     -2767.0971      128.47263     -2638.6245     -377.03865    
    241000   1111.0361     -2774.29        122.78885     -2651.5012     -758.24004    
    242000   1183.7548     -2775.7087      130.82553     -2644.8832     -2011.2742    
    243000   1146.5839     -2771.4101      126.7175      -2644.6926     -1094.0477    
    244000   1218.5092     -2768.2136      134.6665      -2633.5471      1223.2889    
    245000   1122.1797     -2771.109       124.02041     -2647.0885     -1604.4942    
    246000   1227.1063     -2767.5395      135.61663     -2631.9229      895.45861    
    247000   1192.2424     -2771.2793      131.76356     -2639.5157      45.087592    
    248000   1197.4276     -2775.835       132.33662     -2643.4984     -379.09706    
    249000   1211.2574     -2770.8385      133.86505     -2636.9735      404.34778    
    250000   1200.3744     -2768.8753      132.66228     -2636.2131     -412.98468    
    251000   1138.7477     -2769.6093      125.85146     -2643.7579     -177.88279    
    252000   1155.7562     -2764.5502      127.7312      -2636.819       1838.7525    
    253000   1228.1529     -2773.3543      135.7323      -2637.622      -24.34111     
    254000   1218.5837     -2768.5398      134.67473     -2633.8651      146.39487    
    255000   1156.3321     -2769.1615      127.79485     -2641.3667      1726.3341    
    256000   1151.8562     -2774.8312      127.30018     -2647.531      -1665.1057    
    257000   1158.1718     -2768.2459      127.99816     -2640.2478      892.26527    
    258000   1168.2752     -2776.0154      129.11477     -2646.9006     -2632.0084    
    259000   1195.1209     -2768.9489      132.08168     -2636.8672      2019.5599    
    260000   1184.4211     -2769.5409      130.89917     -2638.6418     -409.34666    
    261000   1207.6239     -2775.1088      133.46348     -2641.6453      192.71974    
    262000   1164.7863     -2776.4246      128.72918     -2647.6954     -22.014476    
    263000   1221.2863     -2774.4298      134.97341     -2639.4564     -2339.2239    
    264000   1165.321      -2772.5653      128.78827     -2643.777      -614.5678     
    265000   1181.7845     -2770.0011      130.60778     -2639.3933      1260.6686    
    266000   1192.2208     -2767.7609      131.76117     -2635.9998      1205.2436    
    267000   1146.7651     -2774.62        126.73753     -2647.8825     -956.18545    
    268000   1146.6841     -2767.7242      126.72858     -2640.9956     -765.72216    
    269000   1232.6099     -2767.2348      136.22488     -2631.01       -75.32972     
    270000   1227.9907     -2775.1473      135.71437     -2639.4329     -696.17767    
    271000   1167.6047     -2770.8148      129.04066     -2641.7742     -400.79037    
    272000   1136.902      -2766.3411      125.64748     -2640.6936      1527.991     
    273000   1172.2163     -2775.9632      129.55032     -2646.4129     -696.7513     
    274000   1132.8183     -2767.4078      125.19616     -2642.2117      158.30051    
    275000   1088.1613     -2771.4837      120.26079     -2651.2229     -921.96473    
    276000   1155.0079     -2763.6316      127.6485      -2635.9831      1362.8177    
    277000   1116.1777     -2770.2448      123.35709     -2646.8878     -1130.3584    
    278000   1191.9938     -2779.418       131.73608     -2647.6819     -2991.1055    
    279000   1136.0046     -2771.4386      125.5483      -2645.8903      268.09755    
    280000   1145.8202     -2771.144       126.6331      -2644.5109     -738.16468    
    281000   1171.7875     -2774.5599      129.50294     -2645.0569     -2298.1149    
    282000   1185.2864     -2773.2157      130.9948      -2642.2209     -513.67188    
    283000   1164.5477     -2772.0666      128.70282     -2643.3638      12.790267    
    284000   1189.416      -2769.3182      131.45119     -2637.867      -269.2311     
    285000   1224.545      -2773.179       135.33356     -2637.8454      1021.865     
    286000   1209.0278     -2772.3353      133.61863     -2638.7166     -51.612389    
    287000   1175.9584     -2772.1559      129.96389     -2642.192      -752.4744     
    288000   1145.3625     -2772.0115      126.58252     -2645.429      -2043.1619    
    289000   1234.0219     -2768.3168      136.38092     -2631.9359      653.33526    
    290000   1180.7313     -2776.9795      130.49138     -2646.4881     -2593.4867    
    291000   1154.2481     -2778.3377      127.56453     -2650.7732     -2454.6633    
    292000   1224.3038     -2773.5573      135.3069      -2638.2504      785.58031    
    293000   1159.4199     -2771.9239      128.1361      -2643.7878     -360.68286    
    294000   1154.9939     -2769.0536      127.64695     -2641.4067      662.5478     
    295000   1135.3835     -2775.14        125.47967     -2649.6603     -1004.0364    
    296000   1207.6958     -2766.7001      133.47143     -2633.2287     -568.43184    
    297000   1185.0025     -2765.2088      130.96342     -2634.2454     -72.257617    
    298000   1181.4974     -2773.344       130.57605     -2642.768      -340.76083    
    299000   1213.2339     -2771.0849      134.08349     -2637.0014      882.78109    
    300000   1101.5111     -2764.726       121.73617     -2642.9898      999.10847    
    301000   1190.9763     -2767.5808      131.62363     -2635.9572     -130.63136    
    302000   1159.9803     -2773.4669      128.19803     -2645.2688     -2313.087     
    303000   1217.1173     -2772.5473      134.51267     -2638.0347      277.53871    
    304000   1144.2062     -2770.2317      126.45472     -2643.7769      1216.4493    
    305000   1134.0805     -2768.9255      125.33566     -2643.5898      1993.3271    
    306000   1157.7184     -2771.4652      127.94805     -2643.5171     -937.88399    
    307000   1114.5559     -2779.2767      123.17784     -2656.0989     -1525.8305    
    308000   1219.2512     -2775.0648      134.7485      -2640.3163     -1334.144     
    309000   1154.8703     -2764.024       127.63329     -2636.3907      671.55755    
    310000   1138.0957     -2769.264       125.7794      -2643.4846     -633.54508    
    311000   1149.1161     -2762.5843      126.99735     -2635.5869      2364.8808    
    312000   1170.8514     -2773.5265      129.39949     -2644.1271      22.268405    
    313000   1158.7822     -2769.4825      128.06562     -2641.4169     -201.22197    
    314000   1204.0005     -2767.6048      133.06303     -2634.5418      2276.1285    
    315000   1201.3293     -2776.537       132.76782     -2643.7692     -529.98634    
    316000   1171.9526     -2766.1876      129.52118     -2636.6665      996.22779    
    317000   1186.5827     -2774.3435      131.13806     -2643.2055     -1186.4005    
    318000   1150.1179     -2770.9379      127.10806     -2643.8298      760.27638    
    319000   1126.2559     -2770.1247      124.4709      -2645.6538     -6.9091926    
    320000   1149.5279     -2763.8221      127.04286     -2636.7793      1883.3513    
    321000   1149.6896     -2781.1383      127.06073     -2654.0776     -4105.643     
    322000   1178.5882     -2772.2984      130.25453     -2642.0439     -2325.9417    
    323000   1168.7024     -2777.2689      129.16198     -2648.1069     -132.44263    
    324000   1120.0996     -2764.203       123.79052     -2640.4125      881.03422    
    325000   1162.8702     -2773.9281      128.51741     -2645.4107     -764.35368    
    326000   1208.8282     -2778.5834      133.59658     -2644.9868     -1014.2413    
    327000   1167.0901     -2763.4823      128.98379     -2634.4985      2678.4991    
    328000   1156.6244     -2769.4809      127.82715     -2641.6538      475.52415    
    329000   1218.7049     -2775.5197      134.68813     -2640.8316      316.29212    
    330000   1143.1933     -2768.9962      126.34278     -2642.6534     -1104.2422    
    331000   1177.7904     -2776.5141      130.16636     -2646.3477     -1257.7115    
    332000   1210.4087     -2771.7748      133.77125     -2638.0036     -880.64787    
    333000   1178.1672     -2777.1197      130.208       -2646.9117     -2393.7208    
    334000   1189.1032     -2776.704       131.41662     -2645.2874     -311.67214    
    335000   1218.9714     -2767.2743      134.71758     -2632.5567      2443.0484    
    336000   1155.2098     -2771.0567      127.67081     -2643.3859      756.02946    
    337000   1212.0235     -2772.7263      133.94971     -2638.7766     -1670.5275    
    338000   1207.1471     -2771.6018      133.41078     -2638.191      -1515.4443    
    339000   1192.2789     -2780.2916      131.76759     -2648.524      -2683.5321    
    340000   1170.2538     -2772.8066      129.33343     -2643.4731     -503.69782    
    341000   1184.3604     -2772.8946      130.89246     -2642.0021      147.35316    
    342000   1176.3276     -2774.5124      130.0047      -2644.5077     -560.46058    
    343000   1223.6257     -2769.3525      135.23196     -2634.1206      161.29038    
    344000   1209.6814     -2773.1657      133.69087     -2639.4748     -1109.4614    
    345000   1138.8294     -2773.4116      125.86049     -2647.5511     -558.22326    
    346000   1244.0958     -2768.215       137.49427     -2630.7207      2834.7119    
    347000   1094.5533     -2767.8278      120.96722     -2646.8606      819.11172    
    348000   1149.202      -2774.1264      127.00685     -2647.1195     -2109.9899    
    349000   1181.8792     -2775.5727      130.61825     -2644.9545     -1429.9524    
    350000   1135.4703     -2776.2349      125.48925     -2650.7457     -2227.3786    
    351000   1158.7974     -2769.2967      128.0673      -2641.2294      390.27998    
    352000   1185.0745     -2774.4371      130.97138     -2643.4657     -1353.0752    
    353000   1169.9378     -2775.3851      129.29851     -2646.0866     -2301.2629    
    354000   1174.5677     -2764.8479      129.81019     -2635.0377      1058.3522    
    355000   1174.2383     -2771.4713      129.77379     -2641.6975     -809.62953    
    356000   1186.1571     -2773.4705      131.09103     -2642.3795     -997.8714     
    357000   1167.8947     -2772.185       129.07271     -2643.1123     -119.16645    
    358000   1201.3925     -2770.2386      132.7748      -2637.4638      1526.8379    
    359000   1206.8845     -2776.8597      133.38177     -2643.4779     -1134.9574    
    360000   1094.7377     -2766.4291      120.98759     -2645.4415      218.62076    
    361000   1141.064      -2771.2126      126.10745     -2645.1052     -51.080249    
    362000   1158.1208     -2774.8603      127.99252     -2646.8677     -2620.9882    
    363000   1145.2166     -2764.171       126.56638     -2637.6046      1165.3893    
    364000   1164.5762     -2777.149       128.70596     -2648.4431     -981.88678    
    365000   1146.9786     -2768.8371      126.76112     -2642.076       2041.2566    
    366000   1176.9719     -2772.3703      130.07591     -2642.2944      649.88218    
    367000   1161.8117     -2771.8889      128.40044     -2643.4884      431.13302    
    368000   1185.5093     -2780.4581      131.01944     -2649.4387     -2265.297     
    369000   1169.0168     -2770.0981      129.19673     -2640.9013     -819.21283    
    370000   1157.0064     -2776.7155      127.86937     -2648.8462     -38.091605    
    371000   1224.324      -2770.2546      135.30914     -2634.9454      788.86328    
    372000   1136.9246     -2771.5         125.64998     -2645.8501     -317.55881    
    373000   1155.5327     -2776.218       127.70649     -2648.5115     -52.096123    
    374000   1203.2949     -2770.7946      132.98505     -2637.8095      991.86621    
    375000   1120.546      -2774.2967      123.83986     -2650.4568     -1633.2064    
    376000   1219.8666     -2773.9992      134.81651     -2639.1827      278.08145    
    377000   1191.4985     -2773.0593      131.68135     -2641.3779      308.28296    
    378000   1144.5626     -2771.2942      126.49411     -2644.8001      223.83765    
    379000   1168.3443     -2770.2337      129.1224      -2641.1113     -167.53832    
    380000   1157.7753     -2769.9453      127.95435     -2641.991       1697.69      
    381000   1142.3324     -2769.6281      126.24764     -2643.3805      666.82768    
    382000   1123.821      -2773.718       124.2018      -2649.5162      599.80675    
    383000   1162.4419     -2774.0335      128.47008     -2645.5634      563.25733    
    384000   1175.4079     -2772.5982      129.90305     -2642.6952      554.49672    
    385000   1122.0925     -2772.1837      124.01077     -2648.1729      511.55923    
    386000   1184.7665     -2772.0327      130.93734     -2641.0954     -786.15253    
    387000   1221.2565     -2771.9069      134.97012     -2636.9368     -862.35214    
