# pair
86.752	0.375	86.753	-3.193	11.756	6.491	-6.0880	1.389       1.304      1.395      -2.671      -1.377      -0.685      -6.0271	1537.894082388169636  -371363.23214115278097
86.749	0.386	86.760	-2.443	9.709	8.091	-6.0764	1.386       1.304      1.395      -1.398      1.774      0.673      -6.0202	1540.1435714303845543  -371361.82107925787568
86.747	0.394	86.769	-1.270	7.642	9.815	-6.0566	1.386       1.307      1.396      0.104      5.001      2.094      -6.0186	1543.5203568306703801  -371360.50896190589992
86.747	0.401	86.780	0.303	5.813	11.410	-6.0314	1.387       1.314      1.399      1.798      8.193      3.555      -6.0202	1547.791338606012232  -371359.89609812118579
86.748	0.406	86.792	2.115	4.124	12.524	-6.0030	1.389       1.324      1.403      3.637      11.246      5.029      -6.0252	1551.9951865778725733  -371359.29168165044393
86.751	0.409	86.805	4.081	2.341	12.688	-5.9668	1.394       1.336      1.409      5.569      14.069      6.477      -6.0341	1555.3818541842158538  -371358.04105503705796
86.756	0.411	86.817	6.238	0.710	11.722	-5.9287	1.400       1.352      1.416      7.532      16.585      7.840      -6.0471	1557.3347227757135443  -371357.17165559227578
86.764	0.411	86.828	8.594	-0.561	9.746	-5.9030	1.409       1.369      1.425      9.456      18.731      9.053      -6.0612	1557.4012490490972596  -371355.98617018642835
86.773	0.410	86.837	11.053	-1.582	7.054	-5.9032	1.419       1.389      1.434      11.274      20.449      10.053      -6.0768	1555.7505113283957598  -371354.42045604472514
86.786	0.408	86.842	13.395	-2.414	4.125	-5.9336	1.432       1.410      1.445      12.913      21.688      10.784      -6.0969	1553.1500859539073645  -371353.12798012641724
86.800	0.405	86.845	15.364	-3.038	1.447	-5.9862	1.445       1.432      1.456      14.301      22.408      11.205      -6.1186	1550.3354582598335583  -371351.72487445169827
86.816	0.402	86.845	16.606	-3.471	-0.398	-6.0421	1.460       1.455      1.467      15.388      22.592      11.304      -6.1337	1547.7070548678593696  -371350.72745571943233
86.833	0.398	86.844	17.194	-3.850	-1.176	-6.0830	1.476       1.478      1.478      16.143      22.242      11.094      -6.1348	1545.5232644790480663  -371349.51424621220212
86.851	0.394	86.843	17.203	-4.352	-1.341	-6.1025	1.492       1.500      1.489      16.543      21.378      10.615      -6.1138	1543.7626761572873875  -371348.25369662244339
86.868	0.389	86.841	16.310	-4.999	-1.591	-6.0971	1.509       1.520      1.500      16.562      20.036      9.922      -6.0657	1542.337955064584321  -371346.94013026583707
86.883	0.384	86.840	14.350	-5.730	-2.176	-6.0673	1.526       1.540      1.509      16.177      18.246      9.095      -5.9917	1541.3758175844182006  -371345.897608399624
86.896	0.378	86.837	11.310	-6.339	-2.911	-6.0172	1.541       1.557      1.518      15.384      16.019      8.225      -5.9067	1541.0851005012577843  -371344.73738320724806
86.906	0.371	86.834	7.427	-6.612	-3.646	-5.9562	1.556       1.572      1.526      14.201      13.364      7.377      -5.8290	1541.5265838487823657  -371343.31052336940775
86.911	0.365	86.830	3.085	-6.557	-4.244	-5.8947	1.570       1.584      1.532      12.680      10.300      6.569      -5.7722	1542.6329226422553802  -371342.17148058663588
86.912	0.358	86.825	-1.576	-6.237	-4.335	-5.8368	1.582       1.592      1.539      10.894      6.871      5.767      -5.7384	1544.0168691427663816  -371341.5519985674182
86.908	0.352	86.821	-6.262	-5.743	-3.695	-5.7896	1.592       1.597      1.544      8.916      3.153      4.904      -5.7259	1544.9631591060540359  -371340.53888834966347
