LJ_3n				
N	4000	R	1	30
346	3.501875469	422328.3126	1429067.009	
347	3.509127282	411964.986	1391171.507	
348	3.516379095	401876.4704	1354355.798	
349	3.523630908	392054.9355	1318586.985	
350	3.530882721	382492.7893	1283833.241	
351	3.538134534	373182.6708	1250063.767	
352	3.545386347	364117.4422	1217248.759	
353	3.55263816	355290.1819	1185359.374	
354	3.559889972	346694.1774	1154367.696	
355	3.567141785	338322.9188	1124246.707	
356	3.574393598	330170.092	1094970.253	
357	3.581645411	322229.5725	1066513.017	
358	3.588897224	314495.4196	1038850.488	
359	3.596149037	306961.8701	1011958.94	
360	3.60340085	299623.3332	985815.3957	
361	3.610652663	292474.3843	960397.6106	
362	3.617904476	285509.7605	935684.0429	
363	3.625156289	278724.3548	911653.8316	
364	3.632408102	272113.2118	888286.7737	
365	3.639659915	265671.5223	865563.3017	
366	3.646911728	259394.6191	843464.4631	
367	3.654163541	253277.9726	821971.8993	
368	3.661415354	247317.1861	801067.826	
369	3.668667167	241507.9921	780735.0145	
370	3.67591898	235846.2478	760956.773	
371	3.683170793	230327.9316	741716.9286	
372	3.690422606	224949.1392	722999.8108	
373	3.697674419	219706.0798	704790.2345	
374	3.704926232	214595.0728	687073.4842	
375	3.712178045	209612.5444	669835.2987	
376	3.719429857	204755.0241	653061.856	
377	3.72668167	200019.1417	636739.759	
378	3.733933483	195401.6241	620856.0221	
379	3.741185296	190899.2923	605398.0569	
380	3.748437109	186509.0589	590353.6602	
381	3.755688922	182227.9245	575711.0011	
382	3.762940735	178052.976	561458.6089	
383	3.770192548	173981.3832	547585.3616	
384	3.777444361	170010.3966	534080.4747	
385	3.784696174	166137.3449	520933.4901	
386	3.791947987	162359.6327	508134.266	
387	3.7991998	158674.738	495672.9664	
388	3.806451613	155080.2104	483540.0515	
389	3.813703426	151573.6684	471726.2681	
390	3.820955239	148152.7977	460222.6409	
391	3.828207052	144815.3492	449020.463	
392	3.835458865	141559.1368	438111.2878	
393	3.842710678	138382.0357	427486.9207	
